Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20240415
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1981;07;    86.7;    86.8;    94.7;   173.1;    69.6;    68.4;    60.3;    60.4;    71.4;    65.3;    80.5;    77.3;   171.0;    53.0;    56.3;    60.4;    97.3;
1982;07;    24.5;    24.4;   117.0;   100.3;    40.2;    31.4;    28.2;    28.1;    31.3;    51.8;    28.8;    63.7;    46.8;    28.3;    33.0;    39.0;    55.5;
1983;07;    14.6;    14.7;    36.0;    33.7;    39.5;     9.1;    19.4;    19.2;    25.7;    39.6;     7.7;    28.9;    33.3;    29.1;    31.8;    35.2;    27.5;
1984;07;    38.2;    38.4;    86.5;    94.7;    83.2;    55.6;    65.4;    65.1;    93.2;    64.6;    57.6;    66.4;    77.5;    54.9;    65.2;    78.1;    74.3;
1985;07;    35.1;    35.1;    63.5;    87.3;    79.3;    44.1;    79.4;    79.3;    90.0;    64.3;    95.1;    38.4;    59.9;    46.4;    58.0;    72.6;    70.7;
1986;07;    35.6;    35.6;    98.0;   105.6;    64.0;    68.5;    60.7;    60.9;    64.2;    62.7;    86.0;    66.2;    55.8;    39.7;    42.5;    46.1;    71.5;
1987;07;   105.3;   105.3;   124.6;   137.3;    92.4;   129.3;    80.9;    80.9;    88.9;   103.5;   111.7;   120.7;    96.8;    83.1;    81.9;    80.4;   107.1;
1988;07;    65.0;    64.9;   102.9;   109.0;    85.3;    98.1;   119.4;   119.4;   126.7;    80.0;   121.5;   104.5;    74.9;    59.0;    64.3;    71.0;    98.2;
1989;07;    48.6;    48.8;   118.8;   124.0;    77.7;    61.3;    67.4;    67.9;    65.3;    71.3;    94.3;    54.9;    76.4;    56.7;    60.6;    65.5;    83.5;
1990;07;    23.4;    23.4;    55.7;    75.2;    32.3;    28.7;    35.7;    35.9;    38.6;    35.7;    67.9;    47.5;    27.3;    15.4;    20.3;    26.4;    43.7;
1991;07;    27.3;    27.2;    73.9;   100.7;    46.8;    31.2;    46.4;    46.6;    53.4;    57.6;    51.3;    68.4;    34.4;    29.1;    31.2;    33.9;    57.0;
1992;07;    59.3;    59.2;    91.1;   113.3;    88.9;    54.7;    56.4;    56.5;    76.1;    79.7;    72.9;    83.7;   117.9;    76.3;    93.1;   114.3;    84.4;
1993;07;   110.4;   111.0;   139.7;   179.0;   103.7;   111.0;   156.5;   156.6;   135.4;    95.1;   129.8;   101.2;   141.1;   110.0;   112.9;   116.6;   137.2;
1994;07;    36.9;    36.5;   102.3;    81.7;    57.9;    14.2;    50.8;    50.7;    54.0;    46.6;    28.1;    39.6;    49.1;    39.3;    52.2;    68.5;    58.0;
1995;07;    42.6;    42.5;    95.5;    91.7;    83.7;    64.8;    58.0;    57.8;    70.5;    83.7;    38.5;    92.6;    63.4;    49.3;    68.0;    91.4;    72.4;
1996;07;    96.2;    96.2;   122.4;   138.4;    88.8;    57.7;    55.8;    55.7;    76.2;    61.4;    51.6;    69.6;   128.9;    78.9;    91.7;   107.8;    94.1;
1997;07;   106.9;   107.4;   116.5;   161.6;    73.3;    72.3;   101.8;   101.7;    78.2;    67.7;   123.3;    62.7;   137.9;   109.3;   115.1;   122.4;   111.9;
1998;07;    64.8;    64.7;    70.5;   104.4;    72.7;    72.3;    84.7;    85.0;    75.5;    56.9;   114.2;    66.0;    90.6;    58.5;    70.6;    85.9;    81.7;
1999;07;    36.8;    36.7;   102.4;   105.8;    80.9;    31.9;    53.4;    53.2;    53.1;    64.9;    49.2;    65.7;    96.1;    42.1;    65.4;    94.8;    71.6;
2000;07;    63.2;    63.4;   162.6;   157.6;   143.7;    93.8;   101.2;   100.5;   142.5;   172.8;    52.7;   212.3;    89.4;    64.6;    75.7;    89.7;   120.8;
2001;07;    51.4;    51.4;    76.8;    72.8;    56.1;    38.0;    63.8;    63.8;    57.2;    62.7;    78.6;    92.7;    94.4;    84.5;    85.2;    86.0;    68.9;
2002;07;    68.9;    69.1;   123.8;   124.2;   120.0;    90.0;   149.4;   149.7;   128.5;    86.6;   178.2;    65.9;    75.8;   107.4;    94.4;    78.1;   116.2;
2003;07;    61.2;    61.5;    79.5;    83.6;    65.4;    63.7;    55.8;    55.8;    72.8;    55.6;    58.9;    61.8;    71.7;    47.9;    51.1;    55.2;    68.0;
2004;07;    97.9;    98.0;    90.4;   110.8;   100.1;   100.0;   114.9;   115.0;   114.2;    79.6;   104.7;    74.7;   110.0;    93.0;   101.7;   112.6;   104.0;
2005;07;   139.9;   139.3;   115.6;   130.7;    71.8;   101.1;   108.8;   109.6;    93.5;    69.4;   124.6;    77.5;   124.8;   101.8;    92.5;    80.8;   110.0;
2006;07;    32.6;    31.9;    73.4;    64.2;    69.3;    24.4;    42.4;    42.1;    50.9;    40.1;    38.7;    24.6;    31.2;    33.4;    43.6;    56.5;    49.5;
2007;07;   112.9;   113.0;   115.8;   145.2;   105.8;   109.4;   124.8;   125.3;   121.9;    82.4;   152.9;    99.8;   102.5;   109.1;   117.3;   127.6;   121.3;
2008;07;    58.5;    59.0;    85.8;   110.7;    56.5;    54.6;   115.1;   115.6;   105.3;    75.7;    99.0;    74.6;    78.0;    72.8;    71.5;    69.9;    88.6;
2009;07;    76.8;    77.2;   151.2;   130.1;    94.1;    85.0;   105.1;   105.3;   112.3;    91.9;   111.6;   105.9;    90.2;    76.6;    83.7;    92.7;   107.6;
2010;07;    61.7;    61.9;   113.0;   132.7;    64.7;    26.7;    49.3;    49.0;    68.2;    73.3;    38.8;    72.0;   124.8;    46.9;    69.1;    97.1;    81.5;
2011;07;   202.9;   202.7;   138.7;   144.5;    68.0;   222.8;    67.5;    68.0;    68.8;    64.5;   117.7;    72.9;   193.0;   115.1;   102.2;    86.0;   124.0;
2012;07;   105.3;   104.7;    98.4;    91.9;   107.7;    80.2;    95.5;    95.5;   115.4;    92.4;   117.6;    79.9;   115.4;    91.9;    93.2;    94.9;    99.0;
2013;07;    36.1;    36.1;    71.6;    32.6;    37.0;    36.8;    33.5;    33.6;    33.4;    33.9;    36.7;    42.7;    42.5;    35.7;    37.4;    39.5;    38.9;
2014;07;    85.6;    85.8;   191.6;   147.6;   147.4;    78.1;   101.3;   100.9;   140.4;   146.2;    69.0;   139.8;   105.7;   106.0;   119.1;   136.3;   126.6;
2015;07;    77.5;    77.7;    37.2;    44.9;    62.0;    71.4;   113.7;   113.6;    87.5;    40.5;   127.8;    29.3;    79.0;    90.1;    86.1;    80.9;    72.2;
2016;07;    56.4;    56.4;    71.1;   110.2;    57.8;    61.1;    58.4;    58.6;    47.8;    44.9;    78.7;    38.8;    83.2;    47.4;    56.6;    68.5;    70.0;
2017;07;   128.7;   127.8;   134.1;   138.0;   159.2;   125.2;   138.0;   137.3;   134.1;   124.1;   100.9;   128.4;   109.6;   114.9;   134.4;   159.7;   132.4;
2018;07;    54.6;    54.2;    50.7;    60.8;    28.7;    40.6;    27.2;    27.3;    25.5;    30.7;    21.0;    31.2;    32.2;    27.5;    31.4;    36.6;    40.0;
